,id,date,code,name,open,high,low,close,volume,money,change_pct
72,1634702,2018-01-02,851323,女装,2221.77,2262.23,2194.45,2225.82,15050000.0,254930000.0,1.04
73,1634703,2018-01-02,851322,男装,2605.88,2656.48,2595.41,2636.6,50660000.0,480500000.0,1.05
74,1634704,2018-01-02,850731,仪器仪表,3512.33,3550.66,3456.1,3523.15,35115962.0,803504052.02,0.36
75,1634705,2018-01-02,851243,乳品,10854.96,10906.28,10538.51,10727.25,104760000.0,2519480000.0,-0.61
76,1634706,2018-01-02,851241,肉制品,7981.86,8169.83,7959.91,8133.63,28390000.0,625040000.0,2.5
77,1634707,2018-01-02,851244,食品综合,2668.37,2706.14,2628.53,2673.69,86250000.0,1086210000.0,0.02
78,1634708,2018-01-02,851435,文娱用品,4283.46,4358.25,4241.95,4311.37,13580000.0,215530000.0,0.59
79,1634709,2018-01-02,801144,其他轻工制造,0.0,0.0,0.0,0.0,540000.0,21100000.0,
80,1634710,2018-01-02,850623,房屋建设,4026.43,4130.04,4020.38,4105.49,188390000.0,1749320000.0,1.88
81,1634711,2018-01-02,801112,视听器材,1323.4,1345.51,1318.39,1333.1,190399022.0,1068145351.3,0.64
82,1634712,2018-01-02,801111,白色家电,15762.03,16079.62,15696.06,15939.19,333485533.0,8500740727.75,2.08
83,1634714,2018-01-02,851711,港口,5201.8,5277.6,5178.56,5248.65,217000941.0,1397096744.68,0.89
84,1634716,2018-01-02,801761,文化传媒,2833.95,2875.53,2811.75,2854.79,389006327.0,4327299316.44,0.65
85,1634717,2018-01-02,851541,医药商业,8039.9,8138.83,7971.81,8091.74,76171154.0,1644086707.6,0.66
86,1634718,2018-01-02,851014,通信配套服务,1459.33,1485.79,1447.88,1474.69,196511150.0,3302767763.46,0.94
87,1634719,2018-01-02,801041,钢铁,3349.29,3467.27,3330.84,3448.22,1419581737.0,9685377813.25,3.09
88,1634721,2018-01-02,850141,饲料,3697.17,3774.81,3639.69,3737.53,163885867.0,1721241956.24,1.4
89,1634722,2018-01-02,850542,钨,8941.11,9110.86,8846.66,9066.14,40360000.0,880960000.0,1.26
90,1634723,2018-01-02,852243,营销服务,4811.16,4928.27,4767.26,4833.53,200670000.0,1886800000.0,0.55
91,1634724,2018-01-02,850541,稀土,6234.88,6392.45,6154.38,6327.17,187840000.0,3131760000.0,1.32
92,1634725,2018-01-02,857242,化学工程,1473.18,1500.75,1456.55,1489.44,67810000.0,557510000.0,1.67
93,1634726,2018-01-02,850544,其他稀有小金属,11491.44,11642.04,11315.72,11500.44,258200000.0,3688900000.0,0.51
94,1634727,2018-01-02,852242,广播电影电视,5290.11,5388.56,5248.4,5345.56,171870505.0,2133668077.0,0.81
95,1634728,2018-01-02,801881,其他交运设备,1768.0,1781.66,1744.72,1767.34,25212000.0,311760800.83,0.07
96,1634730,2018-01-02,850812,分立器件,1651.35,1666.97,1616.11,1658.46,63757245.0,913476759.65,0.47
97,1634731,2018-01-02,850813,半导体材料,1662.15,1673.36,1621.69,1664.95,13931781.0,546494186.59,1.08
98,1634732,2018-01-02,851811,房地产开发,5785.45,6024.75,5758.77,5919.51,2354078967.0,25952539043.72,2.77
99,1634733,2018-01-02,852031,百货,3963.77,4018.37,3921.75,3989.1,109690000.0,1160480000.0,0.48
100,1634734,2018-01-02,852032,超市,18663.95,18809.17,18310.11,18621.21,139910000.0,1508430000.0,0.08
101,1634735,2018-01-02,852033,多业态零售,2935.0,2983.51,2916.78,2962.67,44540000.0,737610000.0,1.04
102,1634736,2018-01-02,801205,商业物业经营,1032.18,1043.24,1029.79,1040.52,34526650.0,213863036.25,0.83
103,1634737,2018-01-02,801204,专业零售,9838.78,10011.09,9668.12,9885.16,119818654.0,1391257016.13,0.45
104,1634738,2018-01-02,801203,一般零售,4987.32,5051.59,4929.08,5011.36,294139135.0,3406508931.79,0.54
105,1634739,2018-01-02,801202,贸易,5166.91,5231.18,5126.69,5206.25,133679327.0,1342499328.81,0.67
106,1634741,2018-01-02,850713,磨具磨料,3061.34,3131.76,3040.66,3101.57,43973370.0,877737961.39,1.66
107,1634742,2018-01-02,850712,机械基础件,2565.06,2612.82,2532.75,2580.61,169848713.0,1930296039.97,1.41
108,1634743,2018-01-02,850711,机床工具,1612.39,1639.05,1581.41,1609.9,58495263.0,732123927.79,1.07
109,1634744,2018-01-02,852211,通信运营,2619.1,2655.4,2608.82,2649.28,168573444.0,1125117161.92,1.44
110,1634745,2018-01-02,850241,油气钻采服务,5241.21,5391.97,5211.22,5342.05,125410000.0,1211640000.0,2.07
111,1634746,2018-01-02,850716,其它普通机械,6427.86,6525.13,6361.4,6454.48,75316699.0,1416006284.13,1.07
112,1634747,2018-01-02,850715,制冷空调设备,7726.1,7852.15,7679.08,7803.0,33932473.0,283530212.78,1.26
113,1634748,2018-01-02,850714,内燃机,3855.31,3917.37,3827.43,3884.08,27363184.0,181561838.23,0.69
114,1634749,2018-01-02,850362,其他橡胶制品,4667.06,4768.54,4625.02,4709.04,15854048.0,183781171.19,0.93
115,1634750,2018-01-02,850363,炭黑,5412.79,5553.28,5372.6,5539.75,27930000.0,308570000.0,2.3
116,1634751,2018-01-02,801164,水务,3867.37,3944.98,3847.07,3903.33,121501377.0,1328386279.04,0.72
117,1634752,2018-01-02,850361,轮胎,2867.69,2920.48,2844.77,2890.92,55209193.0,434845283.44,1.16
118,1634753,2018-01-02,801162,环保,2476.25,2518.36,2429.57,2472.06,288820814.0,4780845914.05,1.12
119,1634754,2018-01-02,801163,燃气,4126.59,4246.86,4096.23,4200.33,289157550.0,3646384034.95,1.48
120,1634756,2018-01-02,801161,电力,2671.79,2710.8,2660.76,2695.92,819278454.0,5209898873.99,0.92
121,1634757,2018-01-02,850352,合成革,7095.55,7142.01,7027.94,7135.39,3360000.0,60960000.0,0.57
122,1634758,2018-01-02,851781,物流,7030.26,7139.04,6941.43,7059.97,159030200.0,2034101973.13,0.9
123,1634759,2018-01-02,851236,黄酒,973.41,980.86,964.72,973.48,7825539.0,76066713.0,0.0
124,1634760,2018-01-02,850353,改性塑料,2474.67,2518.09,2450.82,2475.69,32700000.0,464160000.0,0.61
125,1634761,2018-01-02,851234,软饮料,3562.07,3604.07,3517.67,3554.34,25952342.0,404200642.73,0.14
126,1634762,2018-01-02,851441,其他轻工制造,3491.91,3501.77,3455.19,3461.46,540000.0,21100000.0,-0.87
127,1634763,2018-01-02,851911,银行,3649.29,3734.44,3634.48,3691.26,3078772815.0,22198333192.81,1.3
128,1634764,2018-01-02,801124,食品加工,14106.84,14236.67,13806.72,14032.24,250305112.0,4644062890.0,-0.16
129,1634765,2018-01-02,850726,印刷包装机械,2291.38,2317.61,2254.52,2288.02,15400039.0,228573730.33,0.27
130,1634766,2018-01-02,850373,玻纤,15347.53,16441.9,15194.84,16380.04,86110000.0,1537150000.0,7.63
131,1634767,2018-01-02,850242,其他采掘服务,1467.32,1489.06,1456.67,1482.55,2060000.0,21110000.0,0.29
